title,score,director,genre
legend of a warrior,3.5485148514851486,corey lee,"documentary, sports"
legend of the guardians: the owls of ga'hoole,3.4728370221327967,zack snyder,children & family movies
legend of the naga pearls,3.45748987854251,yang lei,"action & adventure, international movies, sci-fi & fantasy"
legend of the red dragon,3.526018099547511,"jing wong, corey yuen","action, adventure, comedy"
legendary,3.5129310344827585,eric styles,action
legendary weapons of china,3.5322245322245323,chia-liang liu,"action & adventure, cult movies, international movies"
legends of sleepy hollow,3.576673866090713,"amanda sonnenschein, michael bloom, grannell knox",horror
legends of the hidden temple,3.5130522088353415,joe menendez,children & family movies
legend of exorcism,3.573943661971831,shen leping,"anime series, crime tv shows, international tv shows"
legion,3.5066964285714284,scott stewart,"action & adventure, horror movies, sci-fi & fantasy"
lego dc comics: batman be-leaguered,3.5755102040816324,rick morales,movies
lego friends: girls on a mission,3.460526315789474,"andrew tan, stephen murray",kids' tv
lego house - home of the brick,3.490486257928118,"anders falck, stinus morell vithner","documentaries, international movies"
lego jurassic world: the indominus escape,3.640969162995595,michael d. black,"children & family movies, comedies"
lego marvel spider-man: vexed by venom,3.489561586638831,"andrew duncan, ken cunningham","children & family movies, comedies"
lego marvel super heroes: avengers reassembled!,3.5670329670329672,rob silvestri,children & family movies
lego marvel super heroes: black panther,3.5069444444444446,michael d. black,children & family movies
lego monkie kid: a hero is born,3.5891783567134268,sarah harper,"action, animation, kids"
lego star wars holiday special,3.573469387755102,ken cunningham,"action-adventure, animation, comedy"
lego star wars terrifying tales,3.5076923076923077,ken cunningham,"action-adventure, animation, science fiction"
lego star wars: the new yoda chronicles - clash of the skywalkers,3.573293172690763,michael hegner,"action-adventure, animation, comedy"
lego star wars: the new yoda chronicles - raid on coruscant,3.452731092436975,michael hegner,"action-adventure, animation, comedy"
lego star wars: the new yoda chronicles – escape from the jedi temple,3.6303418803418803,michael hegner,"action-adventure, animation, comedy"
lego star wars: the new yoda chronicles – race for the holocrons,3.5597701149425287,michael hegner,"action-adventure, animation, comedy"
lego star wars: the new yoda chronicles – duel of the skywalkers,3.537757437070938,michael hegner,"action-adventure, animation, comedy"
lego: marvel super heroes: maximum overload,3.4760273972602738,greg richardson,children & family movies
lembi 8 giga,3.528421052631579,ashraf fayeq,"comedies, international movies"
lemon,3.484090909090909,janicza bravo,comedy
lemonade mouth,3.45124716553288,patricia riggen,"coming of age, drama, music"
lend a paw,3.6567622950819674,clyde geronimi,"animation, family, kids"
lens,3.5240384615384617,jayaprakash radhakrishnan,"dramas, independent movies, international movies"
leo the last,3.5264227642276422,john boorman,drama
leo the lion,3.576041666666667,mario cambi,"children & family movies, comedies"
leroy & stitch,3.458878504672897,"roberts gannaway, tony craig","action-adventure, animation, comedy"
"les bleus - une autre histoire de france, 1996-2016",3.478125,"pascal blanchard, sonia dauger, david dietz","documentaries, international movies, sports movies"
les misérables,3.5397489539748954,ladj ly,"drama, international"
les savy fav,3.503260869565217,baeble music,"arts, entertainment, and culture, music videos and concerts"
lesa lesa,3.570230607966457,priyadarshan,romance
leslie jones: time machine,3.544397463002114,"david benioff, d.b. weiss",stand-up comedy
lessons from a school shooting: notes from dunblane,3.56198347107438,kim a. snyder,documentaries
let it fall: los angeles 1982-1992,3.5606995884773665,john ridley,documentaries
let it shine,3.5726141078838176,paul hoen,"coming of age, drama, music"
let it snow,3.5857438016528924,luke snellin,"comedies, dramas, lgbtq movies"
let me be frank,3.5032751091703056,ryan silva,"comedy, drama"
let me fall,3.5903846153846155,baldvin zophoníasson,drama
let there be light,3.5332681017612524,arthur joffe,"comedy, international"
let's be tigers,3.586497890295359,stephanie abel horowitz,drama
let's dance,3.535,inas el-degheidy,"comedies, dramas, international movies"
let's dream,3.509278350515464,eric gorlow,"horror, science fiction, suspense"
let's eat,3.576344086021505,sarawut wichiensarn,"international tv shows, romantic tv shows, tv comedies"
let's fight ghost,3.475359342915811,kongkiat khomsiri,"international tv shows, romantic tv shows, tv comedies"
let's go collegiate,3.462555066079295,jean yarbrough,"arts, entertainment, and culture"
let's have fun with little baby bum,3.490328820116054,cannis holder,kids
let's learn with animals with toddler fun learning,3.6225099601593627,christian hughes,kids
let's sing again,3.544378698224852,kurt neumann,"arts, entertainment, and culture"
let's stick together,3.5604026845637584,jack hannah,"animation, family"
lethal love,3.4892933618843682,avi federgreen,thrillers
letters to juliet,3.5360169491525424,gary winick,"comedies, dramas, romantic movies"
level 16,3.5616161616161617,danishka esterhazy,"sci-fi & fantasy, thrillers"
lewberger live at lincoln hall in chicago,3.5156599552572705,keith habersberger,"arts, entertainment, and culture, comedy"
lewis black: black to the future,3.5502008032128516,justin kreutzmann,"arts, entertainment, and culture, comedy"
leyla and mecnun,3.6314285714285712,onur ünlü,"international tv shows, romantic tv shows, tv comedies"
lez bomb,3.4905857740585775,jenna laurenzo,"comedies, lgbtq movies"
liar's dice,3.579520697167756,geetu mohandas,"dramas, independent movies, international movies"
"liar, liar, vampire",3.5264900662251657,vince marcello,"children & family movies, comedies"
liberty city the movie,3.548780487804878,"phillyflyboy, bla g.","action, drama, suspense"
liberty stands still,3.5115384615384615,kari skogland,"action, drama, suspense"
licks,3.5120724346076457,jonathan singer-vine,drama
liefling,3.6048034934497815,brian webber,"comedies, international movies, music & musicals"
lies & alibis,3.641489361702128,matt checkowski,"comedy, drama"
lies in plain sight,3.5722772277227723,patricia cardoso,drama
lieutenant jangles,3.590909090909091,nic champeaux,"action, comedy"
life 2.0,3.591295116772824,jason spingarn-koff,documentaries
life after beth,3.6307531380753137,jeff baena,"comedies, horror movies, independent movies"
life after life,3.5502232142857144,tim fywell,drama
life as we know it,3.561264822134387,greg berlanti,"comedies, dramas, romantic movies"
life in a ... metro,3.482,anurag basu,"dramas, international movies, music & musicals"
life in a year,3.522222222222222,mitja okorn,"drama, young adult audience"
life in a year (4k uhd),3.489130434782609,mitja okorn,drama
life in color,3.5636743215031315,katharine emmer,"arthouse, comedy, romance"
life in the doghouse,3.5723830734966593,ron davis,"documentaries, lgbtq movies"
life is ruff,3.601871101871102,charles haid,"animals & nature, comedy, coming of age"
"life is tough, eh providence?",3.590062111801242,giulio petroni,"comedy, western"
life itself,3.5455445544554456,steve james,documentary
life ki toh lag gayi,3.545816733067729,rakesh mehta,"action & adventure, comedies, dramas"
life lessons from little baby bum,3.4957894736842103,cannis holder,kids
life of an outcast,3.457818930041152,pawan k shrivastava,"dramas, independent movies, international movies"
life of crime,3.504385964912281,daniel schechter,"comedies, independent movies"
life on the rocks,3.572938689217759,"joanna bowzer, tim gagliardo, barry pollack, tim russ, shae-lee shakleford","comedy, drama"
life overtakes me,3.4989339019189765,"john haptas, kristine samuelson",documentaries
life partners,3.5656063618290257,susanna fogel,"comedy, drama, romance"
life with father - 1947 color (digitally remastered version),3.510438413361169,michael curtiz,comedy
life with father - a restored color classic with william powell & elizabeth taylor,3.595528455284553,michael curtiz,"action, comedy, drama"
life with mikey,3.5673684210526315,james lapine,"buddy, comedy, coming of age"
life with murder,3.65599173553719,john kastner,"documentary, special interest"
life's speed bump,3.5872689938398357,wael ehsan,"comedies, international movies"
life-size 2,3.5226781857451406,steven tsuchida,"comedy, coming of age, fantasy"
lifechanger,3.474413646055437,justin mcconnell,"horror movies, independent movies, thrillers"
lifeline,3.4862579281183934,johnnie to,"action & adventure, international movies"
lift,3.545360824742268,alexander kaminer,action
lift like a girl,3.5562632696390657,mayye zayed,"documentaries, international movies, sports movies"
lifted,3.477659574468085,gary rydstrom,"animation, comedy, family"
light in the dark,3.6016597510373445,ekene som mekwunye,"dramas, international movies"
light of my life,3.5100401606425704,casey affleck,"drama, suspense"
light sleeper,3.5114942528735633,paul schrader,"drama, suspense"
light visions,3.586242299794661,arthur springer,science fiction
lighthouse island,3.5303687635574836,eric till,"fantasy, kids, suspense"
like arrows,3.4455445544554455,kevin peeples,"dramas, faith & spirituality"
like blood,3.497029702970297,zaahir abdullah,"drama, suspense"
like crazy,3.5934393638170974,drake doremus,"dramas, independent movies, romantic movies"
like dogs,3.49890590809628,randy van dyke,horror
like father,3.438311688311688,lauren miller rogen,"comedies, dramas"
like love,3.5899532710280373,michael wolfe,"comedy, drama, romance"
like water for chocolate,3.471134020618557,alfonso arau,"classic movies, dramas, international movies"
lil peep: everybody’s everything,3.4802631578947367,"sebastian jones, ramez silyan","documentaries, music & musicals"
lila & eve,3.433808553971487,charles stone iii,"dramas, thrillers"
lila lila,3.506315789473684,alain gsponer,"comedy, drama"
lilith,3.5810526315789475,alexander t. hwang,horror
lilli,3.4927385892116183,prasobh vijayan,"dramas, independent movies, international movies"
lillith,3.5148809523809526,lee esposito,horror
lilo & stitch,3.5550755939524836,"christopher sanders, dean deblois","action-adventure, animation, family"
lilo & stitch 2: stitch has a glitch,3.5158898305084745,"tony leondis, michael labash","animation, comedy, dance"
lily is here,3.4739039665970775,eve butterly,drama
limitless,3.5334728033472804,vrinda samartha,"documentaries, international movies, sports movies"
lincoln,3.531847133757962,steven spielberg,dramas
lincoln@gettysburg,3.4927685950413223,peter schnall,documentary
line of duty,3.5,steven c. miller,"action, adventure"
line walker,3.5045662100456623,jazz boon,"action & adventure, dramas, international movies"
line walker 2: invisible spy,3.538381742738589,jazz boon,action
lingua franca,3.564655172413793,isabel sandoval,"dramas, international movies, lgbtq movies"
linsanity,3.53515625,evan jackson leong,"documentary, sports"
lion's heart,3.5140997830802605,karim el sobky,"action & adventure, international movies"
lionheart,3.5640074211502784,sheldon lettich,"action, adventure"
lisa lampanelli: back to the drawing board,3.5543237250554323,jay chapman,"arts, entertainment, and culture, comedy, special interest"
"lisa loeb, nursery rhyme parade!",3.497787610619469,luke joerger,kids
liss pereira: reteniendo líquidos,3.4819639278557113,fernando ayllón,stand-up comedy
listen,3.5137420718816066,philippe aractingi,"dramas, independent movies, international movies"
listen up! the lives of quincy jones,3.6348684210526314,ellen weissbrod,"documentaries, music & musicals"
little annie rooney,3.4889380530973453,william beaudine,"comedy, drama"
little baby bum - abc song and more kids songs,3.4731404958677685,cannis holder,kids
little baby bum - bath song and more nursery rhymes,3.5,cannis holder,kids
little baby bum - christmas holiday songs for kids,3.547169811320755,moonbug entertainment,kids
little baby bum - five little ducks and more nursery rhymes & kids songs,3.5176600441501105,cannis holder,kids
"little baby bum - heads, shoulders, knees and toes and more kids songs",3.4465020576131686,cannis holder,kids
little baby bum - humpty dumpty and lots more kids songs,3.550588235294118,cannis holder,kids
little baby bum - i love my baby song - valentines special & more kids songs,3.51528384279476,cannis holder,kids
"little baby bum - learn colors, shapes and number! & more educational videos for kids",3.486111111111111,cannis holder,kids
little baby bum - wash your hands song & more nursery rhymes for kids,3.613,cannis holder,kids
little baby bum - we love animals and our environment & more nursery rhymes for kids,3.530155642023346,cannis holder,kids
little baby bum adventure,3.5762886597938146,cannis holder,kids
little baby bum best hits: itsy bitsy spider and more kids songs!,3.444331983805668,cannis holder,kids
little baby bum presents: boo boo song and more nursery rhymes!,3.5040733197556007,cannis holder,kids
little baby bum's christmas kids songs,3.547,cannis holder,kids
little baby bus - superhero red bus & more kids cartoons,3.5167014613778704,moonbug entertainment,kids
little baby bus - the giant ice cream & more cartoons for kids,3.5831578947368423,moonbug entertainment,kids
little baby bus and friends,3.465587044534413,"richard hickey, nick hatton jones","kids, special interest"
little big man,3.5603070175438596,arthur penn,"adventure, comedy, drama"
little big women,3.5292887029288704,joseph hsu,"dramas, international movies"
little bite in the big city,3.528225806451613,armen adilkhanyan,"animation, kids"
little boxes,3.4655831739961758,rob meyer,"comedies, dramas, independent movies"
little cooper,3.5532128514056227,lamb florence,"drama, science fiction"
little did he know,3.6130820399113084,elizabeth shryer,comedy
little dragon maiden,3.5823412698412698,hua shan,"action & adventure, international movies, romantic movies"
little evil,3.469500924214418,eli craig,"comedies, horror movies"
little john,3.5740365111561867,singeetam srinivasa rao,"drama, science fiction"
little kingdom,3.482142857142857,peter magat,drama
little lunch: the halloween horror story,3.4891540130151846,tim bartley,"children & family movies, comedies"
little lunch: the nightmare before graduation,3.5728051391862956,robyn butler,"children & family movies, comedies"
little man tate,3.4775641025641026,jodie foster,drama
little men,3.4822485207100593,ira sachs,"dramas, independent movies"
little men (1935),3.526639344262295,"phil rosan, norman z. mcleod",drama
little miss muffet,3.5334728033472804,ed hartwell,"animation, kids, music videos and concerts"
little miss sumo,3.4481037924151696,matt kay,"documentaries, international movies, sports movies"
little miss sunshine,3.568888888888889,"jonathan dayton, valerie faris","comedy, drama"
little monsters,3.505543237250554,richard greenberg,"children & family movies, comedies"
little nemo: adventures in slumberland,3.5504950495049505,"masami hata, william t. hurtz","anime, kids, science fiction"
little nicky,3.5759219088937093,steve brill,comedies
little red wagon,3.549514563106796,david anspaugh,"drama, kids"
little secrets,3.571578947368421,blair treu,"drama, young adult audience"
little singham - black shadow,3.5165198237885464,prakash satam,"children & family movies, comedies"
little singham aur kaal ka mahajaal,3.58399209486166,prakash satam,"children & family movies, comedies"
little singham future mein satakli,3.567484662576687,prakash satam,"children & family movies, comedies"
little singham in london,3.541346153846154,prakash satam,"children & family movies, comedies"
little singham: kaal ka badla,3.5625,prakash satam,"children & family movies, comedies"
little singham: kaal ki tabaahi,3.6178861788617884,prakash satam,"children & family movies, comedies"
little singham: mahabali,3.5296052631578947,prakash satam,"children & family movies, comedies"
little sister,3.460496613995485,zach clark,"comedies, dramas, independent movies"
little sweetheart,3.600790513833992,anthony simmons,suspense
little white lie,3.5358695652173915,"lacey schwartz, james adolphus",documentary
little white lies,3.5784114052953155,philip saville,"drama, horror, suspense"
little women,3.515217391304348,lela swift,drama
live from lincoln center: rodgers and hammerstein's carousel,3.5279569892473117,glenn weiss,documentary
live hard,3.4474248927038627,wook hwang,drama
"live twice, love once",3.5795964125560538,maria ripoll,"comedies, dramas, international movies"
live-in maid (english subtitled),3.551059730250482,jorge gaggero,"comedy, drama, international"
living and dying,3.5609504132231407,jon keeyes,"action, suspense"
living in bondage: breaking free,3.533482142857143,ramsey nouah,"horror movies, international movies, thrillers"
living well with dementia,3.55175983436853,mark knight,special interest
living with dinosaurs,3.5551948051948052,paul weiland,"fantasy, kids"
living with the enemy,3.5518962075848304,philippe gagnon,"drama, suspense"
liz stewart: i'm crowning,3.528541226215645,cooper barnes,"arts, entertainment, and culture, comedy, special interest"
liz: the elizabeth taylor story,3.5690021231422504,kevin connor,drama
lizzie borden took an ax,3.474945533769063,nick gomez,thrillers
llamageddon,3.6213991769547325,howie dewin,"horror, science fiction"
"lo and behold, reveries of the connected world",3.492424242424242,werner herzog,documentary
lo and behold: reveries of the connected world,3.5636160714285716,werner herzog,documentaries
lo más sencillo es complicarlo todo,3.6160714285714284,rene bueno,"comedies, international movies, romantic movies"
loaded,3.5400801603206413,chris zonnas,comedy
loaded dice,3.5331905781584583,matt green,action
loaded pistols,3.4743852459016393,john english,"action, arts, entertainment, and culture, music videos and concerts"
loan shark,3.5372093023255813,seymour friedman,suspense
local boy,3.524461839530333,r.s durai senthilkumar,"action, drama"
locas por el cambio,3.6056485355648538,ihtziar hurtado ramírez,comedy
lock,3.4868154158215012,smeep kang,"dramas, international movies"
lock down love,3.5113168724279835,emeka mbadiwe,"drama, special interest"
"lock him up, tie me down",3.610403397027601,jeffrey lau,"comedy, drama"
lock your girls in,3.5299785867237685,fouad el-mohandes,"comedies, international movies, romantic movies"
"lock, stock and two smoking barrels",3.6,guy ritchie,"action & adventure, comedies, independent movies"
lockdown,3.4292035398230087,lancelot oduwa imasuen,drama
lockdowners,3.559748427672956,"scott jeffrey, rebecca matthews","drama, romance"
locke,3.5357142857142856,steven knight,"dramas, independent movies"
locked on you,3.4957446808510637,kıvanç baruönü,"comedies, international movies"
lockout,3.5165631469979295,"james mather, steve saint leger","action & adventure, international movies, sci-fi & fantasy"
loco,3.4681724845995894,justin galindo,"action, suspense"
loco love,3.4714867617107945,bryan lewis,"comedy, romance"
locomotive,3.491,jeremy waltman,drama
locusts,3.5063424947145876,heath davis,"drama, suspense"
lodukku pandi,3.5950570342205324,rajanish,"comedy, drama"
loev,3.5063424947145876,sudhanshu saria,"dramas, independent movies, international movies"
logan's run,3.5187376725838266,michael anderson,"action & adventure, classic movies, cult movies"
lokillo: nothing's the same,3.598233995584989,julián gaviria,stand-up comedy
lol,3.4660678642714573,lisa azuelos,"comedy, drama"
lola & virginia (volume 2),3.5679916317991633,myriam ballesteros,"animation, kids"
lola & virginia (volume 4),3.5072614107883817,myriam ballesteros,"animation, kids"
lola igna,3.507972665148064,eduardo roy jr.,"comedies, international movies"
loli paradicka,3.433333333333333,"richard staviarsky, viťo staviarsky",comedy
lolita,3.6497975708502026,stanley kubrick,"classic movies, dramas, romantic movies"
lommbock,3.504024144869215,christian zübert,"comedies, international movies"
"lon chaney in the unholy three - the original 1925 classic, directed by tod browning",3.4848178137651824,tod browning,"action, drama, horror"
london,3.5730688935281836,hunter richards,"action, romance"
london heist,3.5396039603960396,mark mcqueen,action & adventure
london hughes: to catch a d*ck,3.5498938428874736,kristian mercado,stand-up comedy
london spy,3.4768211920529803,jakob verbruggen,"british tv shows, crime tv shows, international tv shows"
lone star state of mind,3.472972972972973,david semel,"comedy, drama"
lonely hearts,3.582834331337325,todd robinson,"drama, suspense"
lonesome ghosts,3.483805668016194,burt gillett,"animation, family, kids"
long lost son,3.551334702258727,brian trenchard-smith,"drama, suspense"
long shot,3.501086956521739,jacob lamendola,documentaries
long time running,3.6377551020408165,"jennifer baichwal, nicholas de pencier","documentaries, international movies, music & musicals"
loni love: america's sister,3.4507186858316223,manny rodriguez,"arts, entertainment, and culture, comedy, special interest"
look again,3.559912854030501,jean-marc piché,suspense
look away,3.502247191011236,assaf bernstein,"drama, horror, young adult audience"
look for a star,3.546078431372549,andrew lau wai-keung,"comedies, international movies, romantic movies"
look me in the eye,3.4582392776523703,nick ward,"drama, suspense"
"look out, officer",3.586497890295359,sze yu lau,"action & adventure, comedies, international movies"
look who's back,3.598081023454158,david wnendt,"comedies, international movies"
looking for an angel,3.6061507936507935,héctor rodríguez,comedy
loop,3.590534979423868,erica milsom,"animation, family"
lorai: play to live,3.5686695278969958,parambrata chatterjee,"dramas, international movies, sports movies"
lords of salem,3.4796747967479673,rob zombie,"horror, suspense"
"lorena, light-footed woman",3.4979338842975207,juan carlos rulfo,"documentaries, international movies, sports movies"
los herederos,3.511530398322851,jorge hernandez aldana,"dramas, international movies"
los niños héroes de chapultepec,3.457905544147844,ignacio lópez escrivá,"documentaries, international movies"
los sonámbulos,3.539877300613497,paula hernández,drama
los tiempos de pablo escobar,3.4753937007874014,alessandro angulo,"crime tv shows, docuseries, international tv shows"
los tigres del norte at folsom prison,3.568565400843882,tom donahue,"documentaries, international movies, music & musicals"
loser,3.417633410672854,arhaan,drama
losing hope,3.555672268907563,lamonte hawley,"drama, kids"
losing my marbles,3.550755939524838,julia rezende,comedy
losing sight of shore,3.5469061876247503,sarah moshman,"documentaries, sports movies"
lost bullet,3.541850220264317,guillaume pierret,"action & adventure, dramas, international movies"
lost child,3.490322580645161,ramaa mosley,"horror, suspense"
lost cities with albert lin: the great flood,3.5771739130434783,jim greayer,"documentary, historical"
lost girls,3.5130260521042085,liz garbus,dramas
lost heart,3.5411899313501145,jesse low,"drama, special interest"
lost holiday,3.5523012552301254,"michael kerry matthews, thomas matthews","comedy, drama, suspense"
lost horizon,3.514344262295082,charles jarrott,"action, drama, science fiction"
lost in hong kong,3.5626242544731612,zheng xu,comedy
lost in london,3.491304347826087,sunkanmi adebayo,"comedies, international movies"
lost in thailand,3.5469667318982387,zheng xu,comedy
lost in the sun,3.624145785876993,trey nelson,"action, drama, suspense"
lost on everest,3.564732142857143,renan ozturk,"animals & nature, documentary, survival"
lost temple of the inca,3.5664556962025316,jim aikman,documentary
lost: mh370,3.6020833333333333,caro meldrum-hanna,documentary
lou,3.5223880597014925,dave mullins,"action-adventure, animation, comedy"
loudon wainwright iii: surviving twin,3.6324701195219125,christopher guest,music & musicals
louis c.k. 2017,3.5377358490566038,louis c.k.,movies
louis c.k.: hilarious,3.431767337807606,louis c.k.,movies
louis c.k.: live at the comedy store,3.5635593220338984,louis c.k.,movies
louisiana story,3.5562770562770565,robert flaherty,"adventure, drama"
love,3.5226293103448274,khalid rahman,"dramas, independent movies, international movies"
love & other drugs,3.5211416490486256,edward zwick,"comedy, drama"
love aaj kal,3.4802494802494803,imtiaz ali,"dramas, international movies, romantic movies"
love aaj kal porshu,3.4869565217391303,pratim d gupta,drama
love and friendship,3.567,whit stillman,"drama, historical"
love and hostages,3.5754310344827585,david a. vargas,comedy
love and love only,3.6017897091722597,julian karikalan,"drama, romance"
love and shukla,3.5184804928131417,jatla siddartha,"dramas, independent movies, international movies"
love beats rhymes,3.5700389105058368,rza,"dramas, music & musicals, romantic movies"
love birds,3.5210526315789474,p. vasu,"drama, romance"
love contractually,3.4864559819413095,liu guonan,"comedy, drama"
love don't cost a thing,3.502004008016032,troy byer,"comedies, romantic movies"
love dot com: the social experiment,3.475391498881432,charneice fox,"comedies, romantic movies"
love everlasting,3.525369978858351,rob diamond,drama
love field,3.5326732673267327,jonathan kaplan,drama
love for sale,3.5252100840336134,andibachtiar yusuf,"dramas, international movies, romantic movies"
love for sale 2,3.4808102345415777,andibachtiar yusuf,"dramas, international movies, romantic movies"
love games,3.5124045801526718,vikram bhatt,"international, suspense"
love in a puff,3.5174180327868854,pang ho-cheung,"comedies, dramas, international movies"
love is a ball,3.493963782696177,david swift,comedy
love is a story,3.5030549898167007,cristina jacob,"international movies, music & musicals, romantic movies"
love is blind,3.4655172413793105,"andy delaney, monty whitebloom","comedy, drama"
love is not what it used to be,3.515432098765432,gabriel ochoa,comedy
love is war,3.552915766738661,omoni oboli,"comedies, dramas, international movies"
love jacked,3.481720430107527,alfons adetuyi,"comedies, international movies, romantic movies"
love jones,3.50314465408805,theodore witcher,"comedies, dramas, independent movies"
love land,3.4922928709055876,joshua tate,drama
love letters,3.513215859030837,stanley donen,romance
love lies bleeding,3.6350515463917525,keith samples,suspense
love life & pakodi,3.5283842794759823,jayanth gali,comedy
love like the falling rain,3.54,lasja fauzia susatyo,"dramas, international movies, romantic movies"
love liza,3.6076759061833688,todd louiso,"arthouse, comedy, drama"
love lust and money,3.5137420718816066,latavious flournoy,"action, drama"
love me tender,3.533464566929134,klaudia reynicke,"comedy, drama"
love ni bhavai,3.59026369168357,saandeep patel,"comedy, drama, kids"
love o2o,3.5709939148073024,tianyu zhao,"international movies, romantic movies, sci-fi & fantasy"
love of fate: amore fati,3.5367063492063493,treagen kier,"comedy, romance"
love of fate: the law,3.5595238095238093,treagen kier,"comedy, romance"
love off the cuff,3.5778688524590163,pang ho-cheung,"comedies, dramas, international movies"
love on delivery,3.510940919037199,stephen chow,"action & adventure, comedies, international movies"
love or money,3.5473372781065087,mae czarina cruz,"dramas, international movies, romantic movies"
love per square foot,3.5570539419087135,anand tiwari,"comedies, international movies, romantic movies"
love shot,3.57085020242915,steven fine,"dramas, thrillers"
love simple,3.595284872298625,mark von sternberg,drama
love station,3.4854771784232366,ahmad samir farag,"comedies, international movies, romantic movies"
love stinks,3.56188605108055,jeff franklin,comedy
love story,3.5009328358208953,arthur hiller,"comedy, drama, romance"
love the one you're with,3.495019920318725,spencer collins iv,"comedy, lgbtq"
love vertigo,3.622159090909091,laurent chouchan,"comedy, international"
love wedding repeat,3.544147843942505,dean craig,"comedies, international movies, romantic movies"
love you right,3.491786447638604,christina faith,"arts, entertainment, and culture, drama"
love you to the stars and back,3.5086206896551726,antoinette jadaone,"comedies, international movies, romantic movies"
love you... love you not,3.5,sridhar jetty,"comedies, international movies, romantic movies"
love's kitchen,3.5525252525252524,james hacking,"comedy, romance"
"love, guaranteed",3.572354211663067,mark steven johnson,"comedies, independent movies, romantic movies"
"love, honour and obey",3.495708154506438,"dominic anciano, ray burdis","comedy, drama"
"love, hope & autism",3.4808102345415777,helen slinger,"documentary, special interest"
"love, kennedy",3.5463917525773194,t.c. christensen,faith and spirituality
"love, repeat",3.551391862955032,shelagh carter,comedy
"love, rosie",3.5448851774530272,christian ditter,"comedy, drama"
"love, surreal and odd",3.5690335305719922,yılmaz erdoğan,"comedies, international movies, romantic movies"
love.com,3.502155172413793,anita barbosa,"comedies, international movies, romantic movies"
lovecraft: fear of the unknown,3.50922131147541,frank h. woodward,"documentary, science fiction"
lovely,3.5536130536130535,sakthi,"comedy, drama, romance"
lovesick,3.4742063492063493,tyson caron,romance
lovesong,3.5891472868217056,so yong kim,"dramas, independent movies, romantic movies"
lovetrue,3.5972222222222223,alma har'el,documentaries
loveyatri - the journey of love,3.607476635514019,abhiraj k minawala,"comedy, international, romance"
loving,3.561349693251534,diarmuid lawrence,"drama, romance"
loving annabelle,3.597609561752988,katherine brooks,"drama, lgbtq, romance"
loving is losing,3.5927083333333334,fernando ayllón,"comedies, international movies, romantic movies"
loving miss hatto,3.530075187969925,aisling walsh,drama
loving you,3.475635593220339,johnnie to,"dramas, international movies"
low tide,3.520669291338583,kevin mcmullin,"action, arthouse, arts, entertainment, and culture"
low tide (4k uhd),3.575,kevin mcmullin,"action, arthouse, arts, entertainment, and culture"
lower learning,3.5113168724279835,mark lafferty,comedy
lowriders,3.6035634743875278,ricardo de montreuil,"dramas, independent movies"
loyal opposition,3.5817610062893084,mark sobel,"drama, suspense"
loyalty and respect,3.5813253012048194,quanie cash,"action, drama, suspense"
loyiso gola: unlearning,3.623853211009174,kagiso lediga,stand-up comedy
"lsd: love, sex aur dhokha",3.514910536779324,dibakar banerjee,"dramas, independent movies, international movies"
lu over the wall,3.441913439635535,masaaki yuasa,"anime features, music & musicals, sci-fi & fantasy"
luca,3.5318725099601593,enrico casarosa,"animation, buddy, coming of age"
lucas brothers: on drugs,3.526694045174538,jay chapman,stand-up comedy
luccas neto em: acampamento de férias 2,3.5838852097130243,lucas margutti,"children & family movies, comedies, music & musicals"
luccas neto in: children's day,3.574736842105263,lucas margutti,"children & family movies, comedies, music & musicals"
luccas neto in: summer camp,3.531578947368421,lucas margutti,"children & family movies, comedies, music & musicals"
luccas neto in: the end of christmas,3.548458149779736,lucas margutti,"children & family movies, comedies, music & musicals"
lucha: playing the impossible,3.557344064386318,ana quiroga,"documentaries, international movies, sports movies"
luciano mellera: infantiloide,3.5143805309734515,"raúl campos, jan suter",stand-up comedy
lucid dream,3.4727463312368974,jun-seong kim,"international movies, sci-fi & fantasy, thrillers"
lucifer (malayalam),3.46875,prithviraj sukumaran,"action, drama"
lucifer (tamil),3.484782608695652,prithviraj sukumaran,"action, drama"
lucifer (telugu),3.478165938864629,prithviraj sukumaran,"action, drama"
luck by chance,3.5532359081419624,zoya akhtar,"dramas, international movies, romantic movies"
luck of the irish,3.548523206751055,paul hoen,"comedy, coming of age, fantasy"
luckee,3.4827956989247313,sanjay jadhav,"comedies, international movies, romantic movies"
lucknow central,3.518867924528302,ranjit tiwari,"dramas, international movies, music & musicals"
luckunnodu,3.50199203187251,raj kiran,"comedy, romance"
lucky texan,3.4826175869120655,robert n. bradbury,western
lucky: no time for love,3.535483870967742,"radhika rao, vinay sapru","dramas, international movies, romantic movies"
lucy,3.5053879310344827,glenn jordan,"comedy, drama"
lucy and desi: a home movie,3.5452793834296723,lucie arnaz,documentary
lucy shimmers and the prince of peace,3.583682008368201,rob diamond,"drama, special interest"
lucy's really lost moments,3.5056053811659194,desi arnaz,comedy
ludo,3.5340466926070038,anurag basu,"comedies, dramas, international movies"
luka chuppi,3.4979035639413,laxman utekar,"comedies, international movies, romantic movies"
luke and lucy and the texas ranger,3.5672268907563027,"mark mertens, wim bien",western
lupin the 3rd: the castle of cagliostro: special edition,3.5,hayao miyazaki,"action & adventure, anime features, classic movies"
lupt,3.4656652360515023,prabhuraj,"horror movies, international movies, thrillers"
lured,3.5258426966292133,david li,horror
