title,score,director,genre
30 minutes on the central california coast,3.576344086021505,david hessemer,"documentary, special interest"
30 minutes or less,3.516949152542373,ruben fleischer,"action & adventure, comedies"
30 minutes to relax in nature,3.4528846153846153,mark knight,special interest
30 nights of paranormal activity with the devil inside the girl with the dragon tattoo,3.6028446389496716,craig moss,"comedy, horror, young adult audience"
300 miles to heaven,3.496913580246914,maciej dejczer,"dramas, international movies"
3022,3.4913419913419914,john suits,"independent movies, sci-fi & fantasy, thrillers"
306 hollywood,3.4796747967479673,elan bogarín & jonathan bogarín,documentary
33 & beyond: the royal art of freemasonry,3.488425925925926,johnny royal,documentary
36 husbands,3.541322314049587,michael glover,comedy
365 days,3.5936842105263156,"barbara białowąs, tomasz mandes","dramas, international movies, romantic movies"
37 seconds,3.5255102040816326,hikari,"dramas, international movies"
37-teen,3.6352201257861636,miles forster,comedy
3rd class,3.5108225108225106,ashok dev,romance
4/20 massacre,3.5351966873706004,dylan reynolds,"action, horror, science fiction"
40 carats,3.53056768558952,milton katselas,"comedy, romance"
40 sticks,3.496993987975952,victor gatonye,"international movies, thrillers"
41,3.50996015936255,glenn triggs,"drama, science fiction"
42 grams,3.550955414012739,jack c. newell,documentaries
45 days to be rich,3.54510556621881,hani bay,comedy
45 minutes in south america,3.567,mark knight,special interest
46,3.521875,serdar akar,"international tv shows, tv dramas, tv mysteries"
47 days,3.5207509881422925,pradeep maddali,"drama, suspense"
47 meters down: uncaged,3.525948103792415,johannes roberts,"action, adventure, drama"
47 meters down: uncaged (4k uhd),3.4636174636174637,johannes roberts,"action, adventure, drama"
48 christmas wishes,3.490663900414938,"marco deufemia, justin g. dyck","children & family movies, comedies"
49-o,3.6205607476635513,p. arokiyadoss,drama
4l,3.5715859030837005,gerardo olivares,"comedies, dramas, independent movies"
4th man out,3.5640243902439024,andrew nackman,"comedies, lgbtq movies"
4th republic,3.559108527131783,ishaya bako,"dramas, international movies, thrillers"
4x4,3.5311203319502074,mariano cohn,"horror, suspense"
5 cowok jagoan,3.481720430107527,anggy umbara,"action & adventure, comedies, international movies"
5 flights up,3.6006036217303823,richard loncraine,"comedies, dramas, independent movies"
5 souls,3.518987341772152,brett donowho,horror
5 star christmas,3.527439024390244,marco risi,"comedies, international movies"
5 to 7,3.4430379746835444,victor levin,"comedies, dramas, romantic movies"
50 first dates,3.514736842105263,peter segal,"comedies, romantic movies"
50 summers,3.6026490066225167,dan napoli,"documentary, sports"
50/50,3.5816777041942607,jonathan levine,"comedies, dramas, independent movies"
500 days of summer (4k uhd),3.479683972911964,marc webb,"arts, entertainment, and culture, comedy"
53206: milwaukee,3.5237113402061855,kimberley t. zulkowski,drama
54321,3.5909961685823757,ragavendra prasad,"drama, suspense"
5:55 (five fifty five),3.439655172413793,chibuzor afurobi,"comedy, drama, romance"
5cm,3.541484716157205,rizal mantovani,"dramas, international movies"
5gang,3.5638297872340425,matei dima,"comedies, international movies"
5k1-states evidence,3.581967213114754,don armstrong,"action, drama"
5th street,3.485057471264368,alex meader,"action, suspense"
6 balloons,3.5373931623931623,marja lewis ryan,"dramas, independent movies"
6 below,3.5448851774530272,scott waugh,"action, drama, suspense"
6 bullets,3.5152439024390243,ernie barbarash,action & adventure
6 days,3.4763374485596708,toa fraser,"action, drama"
6 minutes of yoga by the ocean,3.510496183206107,mark knight,"fitness, special interest"
6 underground,3.559475806451613,michael bay,"action & adventure, dramas"
6 years,3.531578947368421,hannah fidell,"dramas, independent movies, romantic movies"
6-5=2,3.553304904051173,bharat jain,"horror movies, international movies, thrillers"
6-headed shark attack,3.5160320641282565,mark atkins,"action, science fiction"
60 vayadu maaniram,3.5338645418326693,radha mohan,drama
66 sadashiv,3.441758241758242,yogesh deshpande,"comedy, drama"
678,3.5504761904761906,mohamed diab,"dramas, independent movies, international movies"
68 kill,3.5364372469635628,trent haaga,"comedies, independent movies, thrillers"
7 (seven),3.527310924369748,nizar shafi,tv shows
7 assassins,3.5268456375838926,"eric tsang, xiong xinxin","action, adventure"
7 años,3.5913757700205338,roger gual,"dramas, international movies"
7 din mohabbat in,3.6214285714285714,"meenu gaur, farjad nabi","comedies, international movies, music & musicals"
7 khoon maaf,3.6543478260869566,vishal bhardwaj,"dramas, international movies, thrillers"
7 minute yoga nidra for focus,3.5625,mark knight,faith and spirituality
7 yards: the chris norton story,3.573170731707317,jonathon link,documentaries
700 sharks,3.532064128256513,luc marescot,"animals & nature, documentary"
706,3.4868154158215012,shravan kumar,"horror movies, international movies"
730,3.504056795131846,tru,"action, drama, suspense"
7500,3.517699115044248,patrick vollrath,"drama, suspense"
7:19,3.5031578947368422,jorge michel grau,"dramas, international movies"
7th and westlake nino's revenge,3.5131048387096775,michael h royal,"drama, suspense"
8 days,3.5162337662337664,jaco booyens,suspense
8 hours of gentle soothing surf for sleep,3.6316916488222697,mark knight,special interest
8 hours of waves for sleep,3.458520179372197,mark knight,special interest
8 minute meditation to forget and forgive,3.538306451612903,mark knight,special interest
83 degrees - ski the north,3.4039256198347108,matthias mayr,"action, documentary, sports"
8aam number veedu,3.5110220440881763,chinna,horror
9,3.466535433070866,shane acker,"action & adventure, independent movies, sci-fi & fantasy"
9 hour rainstorm for sleep black screen,3.5155945419103314,mark knight,"documentary, special interest"
9 stacks,3.5677083333333335,steve horn,"action, comedy, drama"
9-minute yoga: guided meditation & visualization,3.446215139442231,mark knight,special interest
9/11 phone calls from the towers,3.530982905982906,james kent,"documentary, special interest"
90 ml,3.5267857142857144,anita udeep,"comedies, international movies, music & musicals"
911 nightmare,3.643013100436681,"craig moss, j. bryan dick",suspense
93 days,3.5985915492957745,steve gukas,"dramas, international movies, thrillers"
99 f,3.5422535211267605,jan kounen,"comedy, drama"
99 songs,3.5,vishwesh krishnamoorthy,"dramas, international movies, music & musicals"
a 2nd chance,3.574380165289256,clay glen,"children & family movies, dramas, sports movies"
a 3 minute hug,3.460348162475822,everardo gonzález,"documentaries, international movies"
a 30-minute journey around the world,3.544147843942505,mark knight,"documentary, special interest"
a babysitter's guide to monster hunting,3.5995762711864407,rachel talalay,children & family movies
a bad moms christmas,3.5672645739910314,"jon lucas, scott moore",comedies
a beautiful life,3.485089463220676,andrew lau wai-keung,"dramas, international movies, romantic movies"
a beginner's guide to endings,3.5425742574257426,jonathan sobol,"comedy, drama"
a billion colour story,3.548625792811839,padmakumar narasimhamurthy,"dramas, independent movies, international movies"
a box for rob,3.6878850102669403,renzo vasquez,drama
a box of faith,3.5607064017660046,auturo gavino,drama
a boy called po,3.475510204081633,john asher,"dramas, sci-fi & fantasy"
a boy called sailboat,3.491,cameron nugent,"comedy, drama, kids"
"a boy, a girl, and a dog",3.531115879828326,herbert kline,"action, kids, military and war"
a brand new kitchen,3.5125,bill mcadams jr.,"drama, romance, special interest"
a breed of heroes,3.588785046728972,diamuid lawrence,drama
a bride for christmas,3.600414078674948,gary yates,"comedy, romance"
a bridge too far,3.4833333333333334,richard attenborough,"action & adventure, classic movies, dramas"
a brief inquisition into the luxury dining experience (and the world of food),3.5033407572383073,riagáin grainger,"comedy, drama"
a brilliant young mind,3.4777562862669247,morgan matthews,"drama, young adult audience"
a bucket of blood,3.581611570247934,roger corman,"comedy, drama"
a bug's life,3.564935064935065,john lasseter,"animation, comedy, family"
a bullet for sandoval,3.5183189655172415,"julio buchs, lucio fulci",western
a california christmas,3.5273684210526315,shaun paul piccinino,"comedies, romantic movies"
a celebration of the music from coco,3.4109442060085837,ron de moraes,"concert film, music, musical"
a century of the queen mother: 100 years in 100 minutes,3.576923076923077,alan scales,"documentary, international"
a champion heart,3.521359223300971,david de vos,"children & family movies, dramas"
a chaster marriage,3.527054108216433,umut kirca,"comedies, international movies, romantic movies"
a chinese ghost story,3.535637149028078,siu-tung ching,"action, horror, science fiction"
a chinese ghost story ii,3.4296536796536796,siu-tung ching,"action, comedy, science fiction"
a chinese ghost story iii,3.561936936936937,"siu-tung ching, hark tsui","action, comedy, science fiction"
a choo,3.574642126789366,"kevin ko, peter tsi","action & adventure, international movies, romantic movies"
a chorus line,3.5145228215767634,richard attenborough,"arts, entertainment, and culture, drama"
a christmas in royal fashion,3.5021459227467813,fred olen ray,"comedy, romance"
a christmas kiss ii,3.5892857142857144,kevin connor,comedy
